Portfolio_ID,Stocks,Weights,Expected_Return,Volatility,Sharpe
1,"['UNIVCABLES', 'NEOGEN', 'ARVIND', 'RUPA', 'AVG', 'AVADHSUGAR', 'LTIM', 'KALAMANDIR', 'GULPOLY', 'ULTRACEMCO', 'WOCKPHARMA', 'ZUARIIND', 'POWERMECH', 'PFOCUS', 'PNCINFRA']","[0.011963938751423521, 0.11272880822618175, 1.7230450875523196e-18, 0.03840015936646649, 0.08473689808854977, 0.0, 0.20354822327165467, 0.09602610077120377, 0.04305533828762945, 0.2953349844905272, 0.005156583767265751, 1.7908077233326636e-18, 0.03252003716154772, 0.013013640466034178, 0.06351528735151585]",0.2325083088660373,0.1896128220505796,1.2262267200686208
2,"['CONCORDBIO', 'BAJAJELEC', 'VIKASECO', 'RADHIKAJWE', 'BIRLACORPN', 'NETWEB', 'FOODSIN', 'V2RETAIL', 'NUVAMA', 'BAJAJHIND', 'SCILAL', 'NAM-INDIA', 'DHANUKA']","[0.18323136070246104, 0.13899607535565311, 0.025844086565663425, 0.05154886833764896, 0.12655595740785464, 0.09565961846428127, 0.05253671224522904, 0.03179783684255663, 1.7753810574450135e-18, 0.010652355069656394, 5.082197683525802e-18, 0.117361271527202, 0.16581585748179342]",0.4495306716091848,0.20322355485479188,2.2120008280063073
3,"['INDIGOPNTS', 'RAMCOCEM', 'DALBHARAT', 'UTIAMC', 'RGL', 'HITECH', 'SOBHA', 'BLS', 'FEDERALBNK', 'JSFB', 'JKTYRE', 'CHOLAHLDNG', 'ZYDUSLIFE']","[0.2447584640139631, 0.14973854166797163, 3.469446951953614e-18, 0.14289250607951945, 0.03084587418001373, 0.00743201233546469, 0.029495769359390286, 4.553649124439119e-18, 0.03293288325448513, 0.0, 2.710505431213761e-18, 0.1571379904893445, 0.20476595861984748]",0.1343303485556081,0.17189087293222027,0.7814862200890504
4,"['KELLTONTEC', 'AMBUJACEM', 'HMVL', 'TMB', 'RGL', 'ALICON', 'ATULAUTO', 'KHADIM', 'WEALTH', 'CHAMBLFERT']","[0.027498454789223165, 0.1332813015432773, 0.10804821584741661, 0.3538240638708573, 0.04465251073990714, 0.04278667602695535, 0.06894986890425603, 0.02072665388615891, 0.13700226187763026, 0.0632299925143179]",0.16912419288551156,0.17584934046008796,0.9617561967705941
5,"['PATELENG', 'TEGA', 'DIVGIITTS', 'PURVA', 'RAINBOW', 'HINDWAREAP', 'ASHAPURMIN', 'JAYBARMARU', 'BHARATWIRE', 'STAR', 'SBCL', 'SEMAC']","[0.017611137566130045, 0.18139001181812914, 0.18378218557417575, 0.02047320265638503, 0.2203940310001061, 0.05281558246856956, 0.016921934631721022, 0.04262383545686103, 0.027739835446756102, 0.0902581894475102, 0.06198259133526094, 0.08400746259839519]",0.380743761523226,0.21026058253075702,1.8108185421179959
6,"['TEJASNET', 'ADANIENSOL', 'PARKHOTELS', 'KEI', 'SUMICHEM', 'RSWM', 'VENUSPIPES', 'KAMDHENU', 'REMSONSIND']","[0.03554196460866543, 0.04987897704543156, 0.0, 0.1062418548410646, 0.2550653602038309, 0.059899973871705835, 0.33633761533310413, 0.08063656977850808, 0.0763976843176895]",0.5375866077222029,0.22252717001297403,2.415824583087359
7,"['VERTOZ', 'INOXWIND', 'ELECTHERM', 'CYIENTDLM', 'CENTURYPLY', 'INNOVACAP', 'HDFCAMC', 'BSHSL', 'BIKAJI', 'LOKESHMACH', 'COALINDIA', 'UPL', 'RICOAUTO', 'FEDFINA']","[0.04155114336662741, 4.1029920719087875e-05, 0.04206079897006918, 0.053003834584545016, 0.08776298895170115, 0.1685219722775687, 0.01728191202414365, 0.047001064082335016, 0.1546382859583663, 0.035281859622663746, 0.060049008916610434, 0.03320322992310444, 2.867037119866356e-17, 0.2596028714015459]",0.19353980369261203,0.1742151996352914,1.1109237546309134
8,"['EVEREADY', 'MOLDTKPAC', 'NAVINFLUOR', 'TARSONS', '360ONE', 'POLYCAB', 'ESABINDIA', 'PVSL', 'DHANUKA', 'NBCC', 'INDHOTEL', 'SICALLOG']","[0.07401495196057933, 0.07671427742606163, 0.07767288914736371, 0.13910958509299445, 0.07606090861491177, 0.104987269471935, 0.09547126279839759, 0.04683001704648236, 0.1504230434427896, 0.0, 0.07464427208580886, 0.08407152291267574]",0.26713814117264045,0.18733470264653831,1.4259938890055766
9,"['ANDHRSUGAR', 'AUBANK', 'DHANI', 'EKC', 'EIHAHOTELS', 'DRREDDY', 'WESTLIFE', 'RANEHOLDIN', 'E2E', 'SHIVALIK', 'INDSWFTLAB', 'DIACABS', 'IGL', 'KKCL']","[0.028559060013275513, 0.07514123835009336, 1.3783353014698398e-18, 7.761575591978247e-18, 0.04796091986001973, 0.31583884362445835, 0.07566472109768671, 0.04538356736831122, 0.04327308059268271, 0.04481838985049823, 0.022263529516326475, 0.03027103146982131, 0.12856632546416066, 0.14225929279266575]",0.21636687349462264,0.16833540058663554,1.2853319785416568
10,"['SJVN', 'SWSOLAR', 'WHEELS', 'PFOCUS', 'HFCL', 'TRU', 'CLSEL', 'BEML', 'FOODSIN', 'ELECTHERM', '360ONE', 'ITDC', 'PANACEABIO', 'MAZDA']","[0.26103796959993675, 0.03159556178290493, 0.08509989004956366, 0.03304468769177248, 0.0, 0.0699910731379514, 0.06692338526839231, 0.04818477652927023, 0.045425067857572735, 0.03981102209445308, 0.16226806917463232, 0.008047907252901124, 0.0759553255847673, 0.07261526397588162]",0.22428879094347906,0.21162818521043192,1.0598247616235905
