,CAGR,Volatility,Sharpe,Max Drawdown
DIVISLAB,0.19834282693465477,0.2957021712881027,0.6707520139965739,-0.5954297585042845
APOLLOHOSP,0.22154586375701024,0.32938957999518714,0.6725952404452119,-0.39531848725495655
NHPC,0.07719796752274699,0.31196931231182246,0.2474537221327249,-0.5848275862068976
SHRIRAMFIN,0.13364590718500202,0.4155522917130968,0.3216103240197579,-0.7241884580703339
BOSCHLTD,0.1476110645476918,0.27141024544772124,0.5438669579484408,-0.6978277454181263
TORNTPHARM,0.263105385502338,0.27959615312683433,0.9410193329197359,-0.31477954144620834
ICICIPRULI,0.10429620795032357,0.3401437227109297,0.306623938607738,-0.5487528344671205
IDBI,-0.028721784196224287,0.4436101174185612,-0.06474555711975412,-0.9103500377738605
JSWENERGY,0.1469050221445818,0.4375843109888475,0.3357182112233587,-0.741219963031424
JINDALSTEL,0.027143854687541102,0.47867689515669065,0.05670600557951685,-0.9288047463502435
BHEL,-0.0015243269470832654,0.42398406655802884,-0.003595245829537883,-0.9441929770305605
INDHOTEL,0.13591898860463703,0.34717379597458464,0.39150128892385405,-0.6724784401949753
CUMMINSIND,0.19685324368534096,0.29692664934632396,0.662969269072709,-0.7590619231414665
ICICIGI,0.16034217192160716,0.30404558246080726,0.5273622810891387,-0.4229345624694467
CGPOWER,0.16327184925421445,0.45736377797964667,0.35698465229461235,-0.9586637421967267
MCDOWELL-N,0.11352509330540017,0.3724412275622042,0.30481344411968864,-0.7056694091249065
HDFCAMC,0.15389539986023193,0.32820783320340513,0.46889618190451915,-0.5562437827442134
MAXHEALTH,0.7221617328469705,0.39583367283489534,1.824407023472681,-0.25886204560848936
SOLARINDS,0.4101001738308583,0.29448170224025444,1.39261682716122,-0.342732434624744
MOTHERSON,0.25396814830619263,0.40215224108804803,0.6315223996242466,-0.7959335944786425
INDUSTOWER,0.0649563137952438,0.40385951909417833,0.1608388826415065,-0.7427949409081487
POLYCAB,0.5584327576182742,0.3648182494234313,1.5307149751988465,-0.5017834887618722
